"","Genus species","sample Number or NCBI Accession number","Latitude Longitude for sample collection","Year and month collected","Locality abbr."
"1","Mnemiopsis leidyi","AF293700","41.520; -70.670","2001","USA:W"
"2","Mnemiopsis leidyi","OM368662","56.580; 9.120","2022","NEA"
"3","Mnemiopsis leidyi","KY204082","56.580; 9.120","unknown","NEA"
"4","Mnemiopsis leidyi","KJ754164","43.417; 9.283","2015","M"
"5","Mnemiopsis leidyi","KF435104","43.417; 9.283","2013","M"
"6","Mnemiopsis leidyi","KF435103","43.417; 9.283","2013","M"
"7","Mnemiopsis leidyi","KF435102","43.417; 9.283","2013","M"
"8","Mnemiopsis leidyi","KF435101","43.417; 9.283","2013","M"
"9","Mnemiopsis leidyi","KF435100","43.417; 9.283","2013","M"
"10","Mnemiopsis leidyi","JX266259","36.800; 53.120","2009","CS"
"11","Mnemiopsis leidyi","JX266258","36.800; 53.120","2009","CS"
"12","Mnemiopsis leidyi","JX266257","36.800; 53.120","2009","CS"
"13","Mnemiopsis leidyi","JX266256","36.800; 53.120","2009","CS"
"14","Mnemiopsis leidyi","JX266255","36.800; 53.120","2009","CS"
"15","Mnemiopsis leidyi","JX266254","36.800; 53.120","2009","CS"
"16","Mnemiopsis leidyi","JX266253","36.800; 53.120","2009","CS"
"17","Mnemiopsis leidyi","JX266252","36.800; 53.120","2009","CS"
"18","Mnemiopsis leidyi","JX266251","36.800; 53.120","2009","CS"
"19","Mnemiopsis leidyi","JX266250","36.800; 53.120","2009","CS"
"20","Mnemiopsis leidyi","JX266249","36.800; 53.120","2009","CS"
"21","Mnemiopsis leidyi","JX266248","36.800; 53.120","2009","CS"
"22","Mnemiopsis leidyi","JX112770","36.800; 53.120","2012","CS"
"23","Mnemiopsis leidyi","JX112769","36.800; 53.120","2012","CS"
"24","Mnemiopsis leidyi","JX112768","36.800; 53.120","2012","CS"
"25","Mnemiopsis leidyi","JX112767","36.800; 53.120","2012","CS"
"26","Mnemiopsis leidyi","JX112766","36.800; 53.120","2012","CS"
"27","Mnemiopsis leidyi","JQ742005","36.800; 53.120","unknown","CS"
"28","Mnemiopsis leidyi","JQ071530","43.417; 9.283","unknown","M"
"29","Mnemiopsis leidyi","JQ071529","43.417; 9.283","unknown","M"
"30","Mnemiopsis leidyi","HM007195","43.417; 9.283","2010","M"
"31","Mnemiopsis leidyi","HM007194","43.417; 9.283","2010","M"
"32","Mnemiopsis leidyi","HM007193","43.417; 9.283","2010","M"
"33","Mnemiopsis leidyi","GU062762","11.033; -74.850","2009","CWA"
"34","Mnemiopsis leidyi","GU062761","11.033; -74.850","2009","CWA"
"35","Mnemiopsis leidyi","GU062760","11.033; -74.850","2009","CWA"
"36","Mnemiopsis leidyi","GU062759","11.033; -74.850","2009","CWA"
