"","accession_nmb","pubjournal","pubauthor","pubtitle","pubdoi","location","lld1","lld2","lld3","lld4","ll1","ll2","ll3","ll4","ll5","ll6","latlonpos_nd2","lat1","lon1","lat2","lon2","declat","declon","smplyear"
"1","AF293700","Mol. Phylogenet. Evol. 21 (2), 218-230 (2001)","['Podar,M.', 'Haddock,S.H.', 'Sogin,M.L.', 'Harbison,G.R.']","A molecular phylogenetic framework for the phylum Ctenophora using 18S rRNA genes",NA,"USA:WoodsHole","41.52","N","70.67","W",NA,NA,NA,NA,NA,NA,NA,41.52,-70.67,41.52,-70.67,41.52,-70.67,"2001"
"2","OM368662","Sci Total Environ (2022) In press","['Knudsen,S.W.', 'Hesselsoe,M.', 'Thaulow,J.', 'Agersnap,S.', 'Hansen,B.K.', 'Jacobsen,M.W.', 'Bekkevold,D.', 'Jensen,S.K.', 'Moller,P.R.', 'Andersen,J.H.']","Monitoring of environmental DNA from nonindigenous species of algae, dinoflagellates and animals in the North East Atlantic",NA,"NEAtlantic","56.58","N","9.12","E",NA,NA,NA,NA,NA,NA,NA,56.58,9.12,56.58,9.12,56.58,9.12,"2022"
"3","KY204082","Unpublished","['Jaspers,C.', 'Huwer,B.', 'Reusch,T.H.B.']","Bolinopsis infundibulum in the western North Sea",NA,"NEAtlantic","56.60","N","6.82","E",NA,NA,NA,NA,NA,NA,NA,56.6,6.82,56.6,6.82,56.6,6.82,"unknown"
"4","KJ754164","Zoology (Jena) 118 (2), 102-114 (2015)","['Simion,P.', 'Bekkouche,N.', 'Jager,M.', 'Queinnec,E.', 'Manuel,M.']","Exploring the potential of small RNA subunit and ITS sequences for resolving phylogenetic relationships within the phylum Ctenophora","10.1016/j.zool.2014.06.004","Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2015"
"5","KF435104","PLoS ONE 8 (11), E81067 (2013)","['Ghabooli,S.', 'Shiganova,T.A.', 'Briski,E.', 'Piraino,S.', 'Fuentes,V.', 'Thibault-Botha,D.', 'Angel,D.L.', 'Cristescu,M.E.', 'Macisaac,H.J.']","Invasion Pathway of the Ctenophore Mnemiopsis leidyi in the Mediterranean Sea","10.1371/journal.pone.0081067","Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2013"
"6","KF435103","PLoS ONE 8 (11), E81067 (2013)","['Ghabooli,S.', 'Shiganova,T.A.', 'Briski,E.', 'Piraino,S.', 'Fuentes,V.', 'Thibault-Botha,D.', 'Angel,D.L.', 'Cristescu,M.E.', 'Macisaac,H.J.']","Invasion Pathway of the Ctenophore Mnemiopsis leidyi in the Mediterranean Sea","10.1371/journal.pone.0081067","Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2013"
"7","KF435102","PLoS ONE 8 (11), E81067 (2013)","['Ghabooli,S.', 'Shiganova,T.A.', 'Briski,E.', 'Piraino,S.', 'Fuentes,V.', 'Thibault-Botha,D.', 'Angel,D.L.', 'Cristescu,M.E.', 'Macisaac,H.J.']","Invasion Pathway of the Ctenophore Mnemiopsis leidyi in the Mediterranean Sea","10.1371/journal.pone.0081067","Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2013"
"8","KF435101","PLoS ONE 8 (11), E81067 (2013)","['Ghabooli,S.', 'Shiganova,T.A.', 'Briski,E.', 'Piraino,S.', 'Fuentes,V.', 'Thibault-Botha,D.', 'Angel,D.L.', 'Cristescu,M.E.', 'Macisaac,H.J.']","Invasion Pathway of the Ctenophore Mnemiopsis leidyi in the Mediterranean Sea","10.1371/journal.pone.0081067","Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2013"
"9","KF435100","PLoS ONE 8 (11), E81067 (2013)","['Ghabooli,S.', 'Shiganova,T.A.', 'Briski,E.', 'Piraino,S.', 'Fuentes,V.', 'Thibault-Botha,D.', 'Angel,D.L.', 'Cristescu,M.E.', 'Macisaac,H.J.']","Invasion Pathway of the Ctenophore Mnemiopsis leidyi in the Mediterranean Sea","10.1371/journal.pone.0081067","Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2013"
"10","JX266259","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"unknown"
"11","JX266258","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"unknown"
"12","JX266257","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"unknown"
"13","JX266256","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"unknown"
